"Shroomville"
"begin.mrk"
"blank.bmp","blank.bmp"
15,4,5
"Village.mid"
20,20
0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|1,Forest.dat:1:0,,,,0,|0,,,,,0,|0,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,2|2,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,,0,|2,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,,0,|2,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|2,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|2,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|7,,,,,0,|8,House.dat:1:2,,,|7,,,,,0,|7,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|6,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,1|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,9|2,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|9,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,5,|1,,,,,0,|1,,,,,0,|2,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|7,,,,,0,|7,,,,,0,|8,shrmMark.dat:1:0,,,0|7,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|0,,,,,0,|
0,,,,,0,|2,,,,,0,|2,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,4|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|1,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|2,,,,,0,|0,,,,,0,|
